ID,Name,NOC,Year,Season,Sport,Event,Medal
1173,Yannick Agnel,FRA,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
1181,Meghan Christina Agosta (-Marciano),CAN,2006,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
1181,Meghan Christina Agosta (-Marciano),CAN,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
1181,Meghan Christina Agosta (-Marciano),CAN,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
1188,"Benjamin Alexandro ""Ben"" Agosto",USA,2006,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
1191,Judit goston-Mendelnyi,HUN,1964,Summer,Fencing,"Fencing Women's Foil, Team",Gold
1192,Carlo Agostoni Faini,ITA,1928,Summer,Fencing,"Fencing Men's epee, Team",Gold
1192,Carlo Agostoni Faini,ITA,1932,Summer,Fencing,"Fencing Men's epee, Individual",Bronze
1192,Carlo Agostoni Faini,ITA,1932,Summer,Fencing,"Fencing Men's epee, Team",Silver
1192,Carlo Agostoni Faini,ITA,1948,Summer,Fencing,"Fencing Men's epee, Team",Silver
1201,Erik Alfred gren,SWE,1936,Summer,Boxing,Boxing Men's Lightweight,Bronze
1208,Ioannis Agrimis,GRE,1906,Summer,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold
1211,"Estella ""Stella"" Agsteribbe (-Blits)",NED,1928,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
1220,Sergio Leonel Agero del Castillo,ARG,2008,Summer,Football,Football Men's Football,Gold
1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",CUB,2000,Summer,Volleyball,Volleyball Women's Volleyball,Gold
1249,Jos Aguilar Pulsn,CUB,1980,Summer,Boxing,Boxing Men's Light-Welterweight,Bronze
1254,Macarena Aguilar Daz,ESP,2012,Summer,Handball,Handball Women's Handball,Bronze
1262,Sandra Aguilar Navarro,ESP,2016,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
1270,Jorge Luis Aguilera Ruiz,CUB,1992,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1301,Sri Wahyuni Agustiani,INA,2016,Summer,Weightlifting,Weightlifting Women's Flyweight,Silver
1313,Robyn Mokihana Ah Mow-Santos,USA,2008,Summer,Volleyball,Volleyball Women's Volleyball,Silver
1322,Kevin Joseph Ahearn,USA,1972,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
1323,"Timothy Joseph ""Tim"" Ahearne",GBR,1908,Summer,Athletics,Athletics Men's Triple Jump,Gold
